#  FIFO    SPPIFO  SPPIFOFIXED Fixed_queue_bounds
0   0   0   0   0
1   6112   69   68   82
2   7688   120   80   161
3   8429   146   68   0
4   8510   135   50   77
5   8974   141   81   184
6   9182   137   77   0
7   9194   126   67   79
8   9333   110   75   156
9   9465   77   83   0
10   9412   57   58   101
11   9472   48   69   193
12   9738   26   74   0
13   9885   42   91   107
14   9759   28   93   201
15   9613   25   95   0
16   9547   30   101   108
17   9709   32   87   194
18   9577   22   92   0
19   9742   26   122   125
20   9837   19   87   223
21   9728   26   108   0
22   9616   26   110   135
23   9812   30   121   240
24   9636   28   126   0
25   9832   43   105   140
26   9663   28   136   272
27   9743   30   162   0
28   9827   30   150   161
29   9879   35   145   297
30   9895   41   188   0
31   9916   43   144   184
32   9667   40   175   295
33   9814   46   214   0
34   9761   51   179   179
35   9749   45   188   351
36   9902   48   212   0
37   10135   70   235   187
38   9943   52   200   378
39   9864   65   308   0
40   9894   72   245   211
41   9900   78   247   419
42   9771   76   386   0
43   9840   93   306   253
44   9726   85   320   495
45   9875   112   403   0
46   9869   119   409   300
47   9969   119   373   593
48   9981   133   472   0
49   9956   148   446   326
50   9915   149   406   591
51   10184   166   520   0
52   10051   172   560   384
53   9940   164   487   720
54   10156   236   595   0
55   10020   247   679   437
56   9847   243   606   803
57   9880   277   604   0
58   9974   289   762   469
59   9882   326   741   1031
60   9804   374   852   0
61   10035   432   844   632
62   9828   463   878   1107
63   10055   508   1032   0
64   10010   576   1021   751
65   9983   618   977   1259
66   9904   712   1206   0
67   10001   827   1124   877
68   9889   873   1153   1569
69   9816   960   1261   0
70   10291   1029   1399   1068
71   9908   1153   1524   1786
72   9787   1233   1519   0
73   9907   1244   1366   1263
74   9948   1473   1874   2142
75   10048   1561   1731   0
76   9969   1687   1728   1573
77   9901   1838   2102   2608
78   9914   1986   1750   0
79   9897   2143   2349   1879
80   10021   2297   2435   2974
81   9929   2369   2254   0
82   9945   2455   2353   2229
83   10023   2650   2780   3453
84   9802   2804   2491   0
85   10096   2862   2737   2584
86   10017   2950   2985   3700
87   10162   3224   2773   0
88   10094   3414   2904   2846
89   9944   3568   3152   4024
90   10042   3610   2941   0
91   9862   3745   2967   2831
92   9810   3770   3062   3991
93   10041   3916   2705   0
94   10137   4008   2846   1746
95   9919   4153   3076   2655
96   10065   4104   2815   3249
97   9984   4124   2925   3594
98   10001   4299   3762   3854
99   9925   4242   4092   4068
